start_date,time,geo_join_id,neighborhood,data_value,message
2009-06-01,2-Year Summer Average 2009-2010,101,Kingsbridge - Riverdale,28.37,
2009-06-01,2-Year Summer Average 2009-2010,102,Northeast Bronx,28.64,
2009-06-01,2-Year Summer Average 2009-2010,103,Fordham - Bronx Pk,27.48,
2009-06-01,2-Year Summer Average 2009-2010,104,Pelham - Throgs Neck,28.68,
2009-06-01,2-Year Summer Average 2009-2010,105,Crotona -Tremont,26.72,
2009-06-01,2-Year Summer Average 2009-2010,106,High Bridge - Morrisania,26.33,
2009-06-01,2-Year Summer Average 2009-2010,107,Hunts Point - Mott Haven,27.68,
2009-06-01,2-Year Summer Average 2009-2010,201,Greenpoint,27.11,
2009-06-01,2-Year Summer Average 2009-2010,202,Downtown - Heights - Slope,26.11,
2009-06-01,2-Year Summer Average 2009-2010,203,Bedford Stuyvesant - Crown Heights,26.35,
2009-06-01,2-Year Summer Average 2009-2010,204,East New York,27.97,
2009-06-01,2-Year Summer Average 2009-2010,205,Sunset Park,27.71,
2009-06-01,2-Year Summer Average 2009-2010,206,Borough Park,27.1,
2009-06-01,2-Year Summer Average 2009-2010,207,East Flatbush - Flatbush,27.11,
2009-06-01,2-Year Summer Average 2009-2010,208,Canarsie - Flatlands,29,
2009-06-01,2-Year Summer Average 2009-2010,209,Bensonhurst - Bay Ridge,27.97,
2009-06-01,2-Year Summer Average 2009-2010,210,Coney Island - Sheepshead Bay,28.41,
2009-06-01,2-Year Summer Average 2009-2010,211,Williamsburg - Bushwick,26.65,
2009-06-01,2-Year Summer Average 2009-2010,301,Washington Heights,25.92,
2009-06-01,2-Year Summer Average 2009-2010,302,Central Harlem - Morningside Heights,25.43,
2009-06-01,2-Year Summer Average 2009-2010,303,East Harlem,25.7,
2009-06-01,2-Year Summer Average 2009-2010,304,Upper West Side,24.37,
2009-06-01,2-Year Summer Average 2009-2010,305,Upper East Side,22.97,
2009-06-01,2-Year Summer Average 2009-2010,306,Chelsea - Clinton,21.26,
2009-06-01,2-Year Summer Average 2009-2010,307,Gramercy Park - Murray Hill,19.27,
2009-06-01,2-Year Summer Average 2009-2010,308,Greenwich Village - SoHo,23.82,
2009-06-01,2-Year Summer Average 2009-2010,309,Union Square - Lower East Side,23.95,
2009-06-01,2-Year Summer Average 2009-2010,310,Lower Manhattan,22.73,
2009-06-01,2-Year Summer Average 2009-2010,401,Long Island City - Astoria,27.57,
2009-06-01,2-Year Summer Average 2009-2010,402,West Queens,27.28,
2009-06-01,2-Year Summer Average 2009-2010,403,Flushing - Clearview,28.58,
2009-06-01,2-Year Summer Average 2009-2010,404,Bayside - Little Neck,28.51,
2009-06-01,2-Year Summer Average 2009-2010,405,Ridgewood - Forest Hills,27.88,
2009-06-01,2-Year Summer Average 2009-2010,406,Fresh Meadows,27.97,
2009-06-01,2-Year Summer Average 2009-2010,407,Southwest Queens,28.36,
2009-06-01,2-Year Summer Average 2009-2010,408,Jamaica,27.77,
2009-06-01,2-Year Summer Average 2009-2010,409,Southeast Queens,28.65,
2009-06-01,2-Year Summer Average 2009-2010,410,Rockaways,30.47,
2009-06-01,2-Year Summer Average 2009-2010,501,Port Richmond,29.2,
2009-06-01,2-Year Summer Average 2009-2010,502,Stapleton - St. George,29.44,
2009-06-01,2-Year Summer Average 2009-2010,503,Willowbrook,30.26,
2009-06-01,2-Year Summer Average 2009-2010,504,South Beach - Tottenville,30.3,
