start_period,time_type,year_description,geo_join_id,Neighborhood,Percent,message
2017-01-01,year,2017,404,Bayside - Little Neck,51.2,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,203,Bedford Stuyvesant - Crown Heights,67.2,
2017-01-01,year,2017,209,Bensonhurst - Bay Ridge,50.3,
2017-01-01,year,2017,206,Borough Park,56.3,
2017-01-01,year,2017,208,Canarsie - Flatlands,61.3,
2017-01-01,year,2017,302,Central Harlem - Morningside Heights,52.4,
2017-01-01,year,2017,306,Chelsea - Clinton,34.2,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,210,Coney Island - Sheepshead Bay,60.6,
2017-01-01,year,2017,105,Crotona -Tremont,75.5,
2017-01-01,year,2017,202,Downtown - Heights - Slope,44.2,
2017-01-01,year,2017,207,East Flatbush - Flatbush,63.6,
2017-01-01,year,2017,303,East Harlem,62,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,204,East New York,66.7,
2017-01-01,year,2017,403,Flushing - Clearview,48.7,
2017-01-01,year,2017,103,Fordham - Bronx Pk,65.1,
2017-01-01,year,2017,406,Fresh Meadows,59.5,
2017-01-01,year,2017,307,Gramercy Park - Murray Hill,42.9,
2017-01-01,year,2017,201,Greenpoint,50.7,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,308,Greenwich Village - SoHo,25.6,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,106,High Bridge - Morrisania,72.8,
2017-01-01,year,2017,107,Hunts Point - Mott Haven,78.4,
2017-01-01,year,2017,408,Jamaica,67.5,
2017-01-01,year,2017,101,Kingsbridge - Riverdale,54.7,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,401,Long Island City - Astoria,60,
2017-01-01,year,2017,310,Lower Manhattan,57.9,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,102,Northeast Bronx,69.4,
2017-01-01,year,2017,104,Pelham - Throgs Neck,67.8,
2017-01-01,year,2017,501,Port Richmond,72.1,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,405,Ridgewood - Forest Hills,55.5,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,410,Rockaways,76.5,
2017-01-01,year,2017,504,South Beach - Tottenville,63.4,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,409,Southeast Queens,58.4,
2017-01-01,year,2017,407,Southwest Queens,60.5,
2017-01-01,year,2017,502,Stapleton - St. George,60.4,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,205,Sunset Park,48.9,
2017-01-01,year,2017,309,Union Square - Lower East Side,32.2,
2017-01-01,year,2017,305,Upper East Side,39.5,Estimate is based on small numbers so should be interpreted with caution.
2017-01-01,year,2017,304,Upper West Side,42.4,
2017-01-01,year,2017,301,Washington Heights,60.9,
2017-01-01,year,2017,402,West Queens,53.5,
2017-01-01,year,2017,211,Williamsburg - Bushwick,59.4,
2017-01-01,year,2017,503,Willowbrook,51.1,Estimate is based on small numbers so should be interpreted with caution.
